name	orig_len	lead_N	trail_N	provirus_len	prov_start	prov_end	status
m64407e_230623_212655/133466/ccs/1	6039	6	6	6027	7	6033	kept
m64407e_230623_212655/3080776/ccs/1	6040	6	6	6028	7	6034	kept
m64407e_230623_212655/3148025/ccs/1	6037	6	6	6025	7	6031	kept
m64407e_230623_212655/5507187/ccs/0	6040	5	7	6028	6	6033	kept
m64407e_230623_212655/8259383/ccs/0	6046	6	7	6033	7	6039	kept
m64407e_230623_212655/9570259/ccs/0	6045	5	7	6033	6	6038	kept
m64407e_230623_212655/10551620/ccs/1	6038	6	6	6026	7	6032	kept
m64407e_230623_212655/12126736/ccs/fwd/0	6038	5	7	6026	6	6031	kept
m64407e_230623_212655/12126736/ccs/rev/1	6035	6	6	6023	7	6029	kept
m64407e_230623_212655/13174520/ccs/fwd/1	6046	6	6	6034	7	6040	kept
m64407e_230623_212655/13174520/ccs/rev/0	6049	5	7	6037	6	6042	kept
m64407e_230623_212655/13502108/ccs/1	6023	6	6	6011	7	6017	kept
m64407e_230623_212655/16975146/ccs/0	6039	5	7	6027	6	6032	kept
m64407e_230623_212655/19007467/ccs/0	6039	5	7	6027	6	6032	kept
m64407e_230623_212655/21168500/ccs/0	6044	5	7	6032	6	6037	kept
m64407e_230623_212655/21497669/ccs/1	6039	6	6	6027	7	6033	kept
m64407e_230623_212655/21693390/ccs/1	6076	6	6	6064	7	6070	kept
m64407e_230623_212655/22743844/ccs/0	6027	5	7	6015	6	6020	kept
m64407e_230623_212655/25886952/ccs/0	6039	5	7	6027	6	6032	kept
m64407e_230623_212655/26084754/ccs/0	6039	5	7	6027	6	6032	kept
m64407e_230623_212655/27854001/ccs/1	6042	6	6	6030	7	6036	kept
m64407e_230623_212655/28574507/ccs/0	6040	6	4	6030	7	6036	kept
m64407e_230623_212655/34212379/ccs/fwd/0	6064	5	7	6052	6	6057	kept
m64407e_230623_212655/34212379/ccs/rev/1	6112	6	3	6103	7	6109	kept
m64407e_230623_212655/37292843/ccs/0	6039	5	7	6027	6	6032	kept
m64407e_230623_212655/40176351/ccs/0	6039	5	7	6027	6	6032	kept
m64407e_230623_212655/45090758/ccs/0	6051	5	7	6039	6	6044	kept
m64407e_230623_212655/45483895/ccs/0	6040	5	7	6028	6	6033	kept
m64407e_230623_212655/48039998/ccs/1	5317	6	51	5260	7	5266	kept
m64407e_230623_212655/52036167/ccs/1	6038	6	6	6026	7	6032	kept
m64407e_230623_212655/56952615/ccs/1	6039	6	6	6027	7	6033	kept
m64407e_230623_212655/59834955/ccs/0	6046	5	7	6034	6	6039	kept
m64407e_230623_212655/61145261/ccs/0	6040	5	7	6028	6	6033	kept
m64407e_230623_212655/63243475/ccs/1	6039	6	6	6027	7	6033	kept
m64407e_230623_212655/63767932/ccs/1	6038	6	6	6026	7	6032	kept
m64407e_230623_212655/69600598/ccs/1	6038	6	6	6026	7	6032	kept
m64407e_230623_212655/71370863/ccs/0	6037	5	7	6025	6	6030	kept
m64407e_230623_212655/71631435/ccs/0	6039	5	7	6027	6	6032	kept
m64407e_230623_212655/72156453/ccs/0	6039	5	7	6027	6	6032	kept
m64407e_230623_212655/73925029/ccs/0	6038	5	7	6026	6	6031	kept
m64407e_230623_212655/76351186/ccs/1	6041	6	6	6029	7	6035	kept
m64407e_230623_212655/77464074/ccs/1	6039	6	6	6027	7	6033	kept
m64407e_230623_212655/79758688/ccs/1	6037	6	6	6025	7	6031	kept
m64407e_230623_212655/81724198/ccs/1	6039	6	6	6027	7	6033	kept
m64407e_230623_212655/91097093/ccs/0	6052	5	7	6040	6	6045	kept
m64407e_230623_212655/95290772/ccs/0	6039	5	7	6027	6	6032	kept
m64407e_230623_212655/95946842/ccs/0	6039	5	7	6027	6	6032	kept
m64407e_230623_212655/97847059/ccs/0	6039	5	7	6027	6	6032	kept
m64407e_230623_212655/101450250/ccs/0	6039	5	7	6027	6	6032	kept
m64407e_230623_212655/105712248/ccs/1	6039	6	6	6027	7	6033	kept
m64407e_230623_212655/108201752/ccs/0	6044	6	7	6031	7	6037	kept
m64407e_230623_212655/109773885/ccs/0	6042	5	7	6030	6	6035	kept
m64407e_230623_212655/113836421/ccs/0	6039	5	7	6027	6	6032	kept
m64407e_230623_212655/122750542/ccs/1	6039	6	6	6027	7	6033	kept
m64407e_230623_212655/126091317/ccs/0	6043	5	7	6031	6	6036	kept
m64407e_230623_212655/126288373/ccs/1	6040	6	6	6028	7	6034	kept
m64407e_230623_212655/131531201/ccs/1	6039	6	6	6027	7	6033	kept
m64407e_230623_212655/136775931/ccs/fwd/1	6042	6	6	6030	7	6036	kept
m64407e_230623_212655/136775931/ccs/rev/0	6070	5	7	6058	6	6063	kept
m64407e_230623_212655/136971876/ccs/0	6055	5	7	6043	6	6048	kept
m64407e_230623_212655/138019875/ccs/0	6039	5	7	6027	6	6032	kept
