211_0	fimo	RELA	350	359	+	15.8878
124_4	fimo	RELA	350	359	+	15.8878
K03455.1	fimo	RELA	350	359	+	15.8878
128_5	fimo	RELA	350	359	+	15.8878
128_5	fimo	RELA	364	373	+	15.8878
203_3	fimo	RELA	364	373	+	15.8878
211_0	fimo	RELA	364	373	+	15.8878
124_4	fimo	RELA	364	373	+	15.8878
K03455.1	fimo	RELA	364	373	+	15.8878
203_3	fimo	SP1	388	396	+	11.5306
128_5	fimo	SP1	388	396	+	10.5408
124_4	fimo	SP1	388	396	+	10.5408
211_0	fimo	SP1	388	396	+	10.5408
K03455.1	fimo	SP1	388	396	+	10.5408
211_0	fimo	NFKB1	65	77	-	3.30769
211_0	fimo	NFKB1	65	77	+	1.40385
K03455.1	tfbstools	RELA	350	359	+	15.205964648605
K03455.1	tfbstools	RELA	364	373	+	15.205964648605
K03455.1	tfbstools	RELA	351	360	-	6.0751394668516
K03455.1	tfbstools	RELA	365	374	-	5.68282204407284
K03455.1	tfbstools	SP1	374	382	+	1.72054036258749
K03455.1	tfbstools	SP1	388	396	+	9.75416520490936
K03455.1	tfbstools	SP1	399	407	+	5.43801592975392
K03455.1	tfbstools	Nfatc2	222	229	+	7.60366110145463
K03455.1	tfbstools	Nfatc2	355	362	-	7.06281681533659
K03455.1	tfbstools	Nfatc2	369	376	-	8.67034908938935
K03455.1	tfbstools	TBP	425	431	+	7.96964149920306
K03455.1	tfbstools	TBP	427	433	+	1.04355413423709
K03455.1	tfbstools	TBP	282	288	-	1.68169785780638
K03455.1	tfbstools	TBP	426	432	-	3.77242480609301
124_4	tfbstools	RELA	350	359	+	15.205964648605
124_4	tfbstools	RELA	364	373	+	15.205964648605
124_4	tfbstools	RELA	351	360	-	6.0751394668516
124_4	tfbstools	RELA	365	374	-	5.68282204407284
124_4	tfbstools	SP1	374	382	+	1.72054036258749
124_4	tfbstools	SP1	388	396	+	9.75416520490936
124_4	tfbstools	SP1	399	407	+	5.43801592975392
124_4	tfbstools	Nfatc2	222	229	+	7.60366110145463
124_4	tfbstools	Nfatc2	355	362	-	7.06281681533659
124_4	tfbstools	Nfatc2	369	376	-	8.67034908938935
124_4	tfbstools	TBP	425	431	+	7.96964149920306
124_4	tfbstools	TBP	427	433	+	1.04355413423709
124_4	tfbstools	TBP	282	288	-	1.68169785780638
124_4	tfbstools	TBP	426	432	-	3.77242480609301
128_5	tfbstools	RELA	350	359	+	15.205964648605
128_5	tfbstools	RELA	364	373	+	15.205964648605
128_5	tfbstools	RELA	351	360	-	6.0751394668516
128_5	tfbstools	RELA	365	374	-	5.68282204407284
128_5	tfbstools	SP1	374	382	+	1.72054036258749
128_5	tfbstools	SP1	388	396	+	9.75416520490936
128_5	tfbstools	SP1	399	407	+	5.43801592975392
128_5	tfbstools	Nfatc2	222	229	+	7.60366110145463
128_5	tfbstools	Nfatc2	355	362	-	7.06281681533659
128_5	tfbstools	Nfatc2	369	376	-	8.67034908938935
128_5	tfbstools	TBP	425	431	+	7.96964149920306
128_5	tfbstools	TBP	427	433	+	1.04355413423709
128_5	tfbstools	TBP	282	288	-	1.68169785780638
128_5	tfbstools	TBP	426	432	-	3.77242480609301
203_3	tfbstools	RELA	350	359	+	8.69817000840627
203_3	tfbstools	RELA	364	373	+	15.205964648605
203_3	tfbstools	RELA	365	374	-	5.68282204407284
203_3	tfbstools	SP1	374	382	+	1.15206598465491
203_3	tfbstools	SP1	388	396	+	10.7544092922473
203_3	tfbstools	SP1	399	407	+	5.43801592975392
203_3	tfbstools	Nfatc2	222	229	+	7.60366110145463
203_3	tfbstools	Nfatc2	369	376	-	8.67034908938935
203_3	tfbstools	FOS::JUN	88	96	+	2.56202679012776
203_3	tfbstools	FOS::JUN	134	142	+	3.15472291611776
203_3	tfbstools	FOS::JUN	88	96	-	4.84191795077831
203_3	tfbstools	FOS::JUN	232	240	-	4.73436793835639
203_3	tfbstools	FOS::JUN	329	337	-	6.05003368072688
203_3	tfbstools	TBP	250	256	+	3.23387673821007
203_3	tfbstools	TBP	288	294	+	1.58865199436762
203_3	tfbstools	TBP	318	324	+	2.5045971157196
203_3	tfbstools	TBP	425	431	+	7.96964149920306
203_3	tfbstools	TBP	427	433	+	1.04355413423709
203_3	tfbstools	TBP	43	49	-	3.04392341844915
203_3	tfbstools	TBP	315	321	-	4.53538902494945
203_3	tfbstools	TBP	426	432	-	3.77242480609301
211_0	tfbstools	RELA	350	359	+	15.205964648605
211_0	tfbstools	RELA	364	373	+	15.205964648605
211_0	tfbstools	RELA	351	360	-	6.0751394668516
211_0	tfbstools	RELA	365	374	-	5.68282204407284
211_0	tfbstools	NFKB1	65	77	+	1.74292415386122
211_0	tfbstools	NFKB1	65	77	-	3.60301629339303
211_0	tfbstools	SP1	377	385	+	3.14061348064351
211_0	tfbstools	SP1	388	396	+	9.75416520490936
211_0	tfbstools	SP1	399	407	+	5.43801592975392
211_0	tfbstools	Nfatc2	222	229	+	7.60366110145463
211_0	tfbstools	Nfatc2	71	78	-	7.50465047604247
211_0	tfbstools	Nfatc2	369	376	-	10.9051826503497
211_0	tfbstools	FOS::JUN	232	240	-	3.99199647626513
211_0	tfbstools	TBP	110	116	+	2.42758571919222
211_0	tfbstools	TBP	262	268	+	3.07374334055886
211_0	tfbstools	TBP	264	270	+	1.72080655904318
211_0	tfbstools	TBP	318	324	+	2.5045971157196
211_0	tfbstools	TBP	425	431	+	7.96964149920306
211_0	tfbstools	TBP	427	433	+	1.04355413423709
211_0	tfbstools	TBP	211	217	-	0.442732455936103
211_0	tfbstools	TBP	263	269	-	3.57438994330716
211_0	tfbstools	TBP	264	270	-	0.983445267522612
211_0	tfbstools	TBP	340	346	-	3.57350525762374
211_0	tfbstools	TBP	426	432	-	3.77242480609301
K03455.1	moods	RELA	350	359	+	10.790255194397716
K03455.1	moods	RELA	364	373	+	10.790255194397716
124_4	moods	RELA	350	359	+	10.790255194397716
124_4	moods	RELA	364	373	+	10.790255194397716
128_5	moods	RELA	350	359	+	10.790255194397716
128_5	moods	RELA	364	373	+	10.790255194397716
203_3	moods	RELA	364	373	+	10.790255194397716
211_0	moods	NFKB1	65	77	+	1.1992619775472524
211_0	moods	NFKB1	65	77	-	2.485209169167543
211_0	moods	RELA	350	359	+	10.790255194397716
211_0	moods	RELA	364	373	+	10.790255194397716
211_0	moods	MA0152.3	369	376	-	7.559408530320483
K03455.1	gquad	G4	99	134	+	.
K03455.1	gquad	G4	225	263	+	.
K03455.1	gquad	G4	350	402	+	.
124_4	gquad	G4	99	134	+	.
124_4	gquad	G4	225	263	+	.
124_4	gquad	G4	350	402	+	.
128_5	gquad	G4	99	134	+	.
128_5	gquad	G4	225	263	+	.
128_5	gquad	G4	350	402	+	.
203_3	gquad	G4	49	101	+	.
203_3	gquad	G4	105	134	+	.
203_3	gquad	G4	349	402	+	.
211_0	gquad	G4	49	101	+	.
211_0	gquad	G4	105	156	+	.
211_0	gquad	G4	350	402	+	.
K03455.1	pqsfinder	G4	363	402	+	59
124_4	pqsfinder	G4	363	402	+	59
128_5	pqsfinder	G4	363	402	+	59
203_3	pqsfinder	G4	363	402	+	57
211_0	pqsfinder	G4	363	402	+	71
