name	orig_len	lead_N	trail_N	provirus_len	prov_start	prov_end	status
m64407e_230623_212655/133466/ccs/1	6039	8	562	5469	9	5477	kept
m64407e_230623_212655/3080776/ccs/1	6040	8	562	5470	9	5478	kept
m64407e_230623_212655/3148025/ccs/1	6037	8	561	5468	9	5476	kept
m64407e_230623_212655/5507187/ccs/0	6040	7	563	5470	8	5477	kept
m64407e_230623_212655/8259383/ccs/0	6046	8	563	5475	9	5483	kept
m64407e_230623_212655/9570259/ccs/0	6045	7	563	5475	8	5482	kept
m64407e_230623_212655/10551620/ccs/1	6038	8	561	5469	9	5477	kept
m64407e_230623_212655/12126736/ccs/fwd/0	6038	7	563	5468	8	5475	kept
m64407e_230623_212655/12126736/ccs/rev/1	6035	8	563	5464	9	5472	kept
m64407e_230623_212655/13174520/ccs/fwd/1	6046	8	562	5476	9	5484	kept
m64407e_230623_212655/13174520/ccs/rev/0	6049	7	563	5479	8	5486	kept
m64407e_230623_212655/13502108/ccs/1	6023	8	560	5455	9	5463	kept
m64407e_230623_212655/16975146/ccs/0	6039	7	563	5469	8	5476	kept
m64407e_230623_212655/19007467/ccs/0	6039	7	563	5469	8	5476	kept
m64407e_230623_212655/21168500/ccs/0	6044	7	563	5474	8	5481	kept
m64407e_230623_212655/21497669/ccs/1	6039	8	562	5469	9	5477	kept
m64407e_230623_212655/21693390/ccs/1	6076	18	562	5496	19	5514	kept
m64407e_230623_212655/22743844/ccs/0	6027	7	563	5457	8	5464	kept
m64407e_230623_212655/25886952/ccs/0	6039	7	563	5469	8	5476	kept
m64407e_230623_212655/26084754/ccs/0	6039	7	563	5469	8	5476	kept
m64407e_230623_212655/27854001/ccs/1	6042	8	562	5472	9	5480	kept
m64407e_230623_212655/28574507/ccs/0	6040	16	562	5462	17	5478	kept
m64407e_230623_212655/34212379/ccs/fwd/0	6064	7	565	5492	8	5499	kept
m64407e_230623_212655/34212379/ccs/rev/1	6112	3	573	5536	4	5539	kept
m64407e_230623_212655/37292843/ccs/0	6039	7	563	5469	8	5476	kept
m64407e_230623_212655/40176351/ccs/0	6039	7	563	5469	8	5476	kept
m64407e_230623_212655/45090758/ccs/0	6051	7	563	5481	8	5488	kept
m64407e_230623_212655/45483895/ccs/0	6040	7	563	5470	8	5477	kept
m64407e_230623_212655/48039998/ccs/1	5317	51	562	4704	52	4755	kept
m64407e_230623_212655/52036167/ccs/1	6038	8	562	5468	9	5476	kept
m64407e_230623_212655/56952615/ccs/1	6039	8	562	5469	9	5477	kept
m64407e_230623_212655/59834955/ccs/0	6046	7	562	5477	8	5484	kept
m64407e_230623_212655/61145261/ccs/0	6040	7	563	5470	8	5477	kept
m64407e_230623_212655/63243475/ccs/1	6039	8	562	5469	9	5477	kept
m64407e_230623_212655/63767932/ccs/1	6038	8	562	5468	9	5476	kept
m64407e_230623_212655/69600598/ccs/1	6038	8	562	5468	9	5476	kept
m64407e_230623_212655/71370863/ccs/0	6037	7	563	5467	8	5474	kept
m64407e_230623_212655/71631435/ccs/0	6039	7	563	5469	8	5476	kept
m64407e_230623_212655/72156453/ccs/0	6039	7	563	5469	8	5476	kept
m64407e_230623_212655/73925029/ccs/0	6038	7	563	5468	8	5475	kept
m64407e_230623_212655/76351186/ccs/1	6041	8	563	5470	9	5478	kept
m64407e_230623_212655/77464074/ccs/1	6039	8	562	5469	9	5477	kept
m64407e_230623_212655/79758688/ccs/1	6037	8	562	5467	9	5475	kept
m64407e_230623_212655/81724198/ccs/1	6039	8	562	5469	9	5477	kept
m64407e_230623_212655/91097093/ccs/0	6052	7	563	5482	8	5489	kept
m64407e_230623_212655/95290772/ccs/0	6039	7	563	5469	8	5476	kept
m64407e_230623_212655/95946842/ccs/0	6039	7	563	5469	8	5476	kept
m64407e_230623_212655/97847059/ccs/0	6039	7	563	5469	8	5476	kept
m64407e_230623_212655/101450250/ccs/0	6039	7	563	5469	8	5476	kept
m64407e_230623_212655/105712248/ccs/1	6039	8	562	5469	9	5477	kept
m64407e_230623_212655/108201752/ccs/0	6044	8	563	5473	9	5481	kept
m64407e_230623_212655/109773885/ccs/0	6042	7	563	5472	8	5479	kept
m64407e_230623_212655/113836421/ccs/0	6039	7	564	5468	8	5475	kept
m64407e_230623_212655/122750542/ccs/1	6039	8	562	5469	9	5477	kept
m64407e_230623_212655/126091317/ccs/0	6043	7	563	5473	8	5480	kept
m64407e_230623_212655/126288373/ccs/1	6040	8	562	5470	9	5478	kept
m64407e_230623_212655/131531201/ccs/1	6039	8	562	5469	9	5477	kept
m64407e_230623_212655/136775931/ccs/fwd/1	6042	8	565	5469	9	5477	kept
m64407e_230623_212655/136775931/ccs/rev/0	6070	7	564	5499	8	5506	kept
m64407e_230623_212655/136971876/ccs/0	6055	7	563	5485	8	5492	kept
m64407e_230623_212655/138019875/ccs/0	6039	7	563	5469	8	5476	kept
m64407e_230623_212655/138151791/ccs/0	6039	7	563	5469	8	5476	kept
m64407e_230623_212655/138215437/ccs/0	6040	7	563	5470	8	5477	kept
m64407e_230623_212655/142607394/ccs/1	6039	8	562	5469	9	5477	kept
m64407e_230623_212655/144835823/ccs/1	6037	8	562	5467	9	5475	kept
m64407e_230623_212655/147786274/ccs/1	6075	8	569	5498	9	5506	kept
m64407e_230623_212655/150208837/ccs/0	6039	7	563	5469	8	5476	kept
m64407e_230623_212655/153355136/ccs/0	6039	7	563	5469	8	5476	kept
m64407e_230623_212655/156370983/ccs/1	1816	8	46	1762	9	1770	kept
m64407e_230623_212655/157024955/ccs/0	6039	7	563	5469	8	5476	kept
m64407e_230623_212655/159975148/ccs/rev/0	6054	7	564	5483	8	5490	kept
m64407e_230623_212655/160500297/ccs/1	6039	8	562	5469	9	5477	kept
m64407e_230623_212655/165021918/ccs/0	6042	7	563	5472	8	5479	kept
m64407e_230623_212655/167313637/ccs/1	6040	8	562	5470	9	5478	kept
m64407e_230623_212655/171705121/ccs/0	6039	7	563	5469	8	5476	kept
