name	orig_len	lead_N	trail_N	provirus_len	prov_start	prov_end	status
m64152e_220623_034507/3344018/ccs/0	6430	5159	517	754	5160	5913	kept
m64152e_220623_034507/12845118/ccs/1	6440	5166	520	754	5167	5920	kept
m64152e_220623_034507/17040771/ccs/1	6429	5159	516	754	5160	5913	kept
m64152e_220623_034507/28182082/ccs/0	6440	5166	518	756	5167	5922	kept
m64152e_220623_034507/30408988/ccs/0	6431	5162	515	754	5163	5916	kept
m64152e_220623_034507/31721138/ccs/1	9507	47	1731	7729	48	7776	kept
m64152e_220623_034507/33884675/ccs/0	7212	9	9	7194	10	7203	kept
m64152e_220623_034507/36766862/ccs/1	9500	37	1733	7730	38	7767	kept
m64152e_220623_034507/51184521/ccs/1	9497	37	1730	7730	38	7767	kept
m64152e_220623_034507/51512999/ccs/1	6440	5167	519	754	5168	5921	kept
m64152e_220623_034507/52364717/ccs/0	6444	5173	517	754	5174	5927	kept
m64152e_220623_034507/60032138/ccs/1	7209	7	8	7194	8	7201	kept
m64152e_220623_034507/64684679/ccs/1	6439	5168	516	755	5169	5923	kept
m64152e_220623_034507/65995018/ccs/0	6434	5163	517	754	5164	5917	kept
m64152e_220623_034507/67240144/ccs/0	6420	5148	519	753	5149	5901	kept
m64152e_220623_034507/69731306/ccs/0	7220	6	9	7205	7	7211	kept
m64152e_220623_034507/72222313/ccs/1	6441	5170	516	755	5171	5925	kept
m64152e_220623_034507/75695349/ccs/0	6435	5164	519	752	5165	5916	kept
m64152e_220623_034507/75826897/ccs/1	6442	5183	516	743	5184	5926	kept
m64152e_220623_034507/76940301/ccs/1	6430	5160	516	754	5161	5914	kept
m64152e_220623_034507/78578466/ccs/1	6435	5162	517	756	5163	5918	kept
m64152e_220623_034507/80806444/ccs/1	6431	5161	516	754	5162	5915	kept
m64152e_220623_034507/81724008/ccs/1	9484	34	1727	7723	35	7757	kept
m64152e_220623_034507/81985874/ccs/1	7221	11	8	7202	12	7213	kept
m64152e_220623_034507/90178173/ccs/0	7209	6	9	7194	7	7200	kept
m64152e_220623_034507/91686386/ccs/1	9501	37	1733	7731	38	7768	kept
m64152e_220623_034507/93129110/ccs/1	6433	5163	516	754	5164	5917	kept
m64152e_220623_034507/102697474/ccs/0	6436	5165	517	754	5166	5919	kept
m64152e_220623_034507/108529031/ccs/0	6441	5170	517	754	5171	5924	kept
m64152e_220623_034507/108724964/ccs/0	6433	5162	517	754	5163	5916	kept
m64152e_220623_034507/114491853/ccs/1	7209	7	8	7194	8	7201	kept
m64152e_220623_034507/121177007/ccs/0	9494	37	1762	7695	38	7732	kept
m64152e_220623_034507/122620666/ccs/1	7207	7	8	7192	8	7199	kept
m64152e_220623_034507/128190803/ccs/1	6430	5160	516	754	5161	5914	kept
m64152e_220623_034507/130417319/ccs/1	6428	5159	516	753	5160	5912	kept
m64152e_220623_034507/140643142/ccs/1	9499	37	1732	7730	38	7767	kept
m64152e_220623_034507/142609194/ccs/0	7209	6	9	7194	7	7200	kept
m64152e_220623_034507/145818197/ccs/0	6432	5161	517	754	5162	5915	kept
m64152e_220623_034507/154404146/ccs/1	6431	5161	516	754	5162	5915	kept
m64152e_220623_034507/154927900/ccs/1	7212	7	8	7197	8	7204	kept
