name	orig_len	lead_N	trail_N	provirus_len	prov_start	prov_end	status
m64152e_220624_095730/8192701/ccs/1	7632	2524	11	5097	2525	7621	kept
m64152e_220624_095730/12913146/ccs/1	7631	2523	11	5097	2524	7620	kept
m64152e_220624_095730/15009038/ccs/1	7632	2523	11	5098	2524	7621	kept
m64152e_220624_095730/34735916/ccs/1	7627	2524	11	5092	2525	7616	kept
m64152e_220624_095730/35128927/ccs/1	7633	2524	11	5098	2525	7622	kept
m64152e_220624_095730/42403300/ccs/1	7634	2526	11	5097	2527	7623	kept
m64152e_220624_095730/57738690/ccs/1	7631	2523	11	5097	2524	7620	kept
m64152e_220624_095730/59181017/ccs/0	7622	2520	12	5090	2521	7610	kept
m64152e_220624_095730/63307936/ccs/1	8206	5566	1049	1591	5567	7157	kept
m64152e_220624_095730/67437555/ccs/0	7610	2524	12	5074	2525	7598	kept
m64152e_220624_095730/68747450/ccs/1	7633	2525	11	5097	2526	7622	kept
m64152e_220624_095730/69667117/ccs/1	8205	5566	1048	1591	5567	7157	kept
m64152e_220624_095730/76873989/ccs/0	7631	2522	12	5097	2523	7619	kept
m64152e_220624_095730/80871700/ccs/1	7635	2526	11	5098	2527	7624	kept
m64152e_220624_095730/89458147/ccs/0	8211	5571	1049	1591	5572	7162	kept
m64152e_220624_095730/89916350/ccs/1	8204	5565	1048	1591	5566	7156	kept
m64152e_220624_095730/101187829/ccs/1	7631	2523	11	5097	2524	7620	kept
m64152e_220624_095730/106890658/ccs/1	7633	2521	11	5101	2522	7622	kept
m64152e_220624_095730/109839817/ccs/0	7683	2522	64	5097	2523	7619	kept
m64152e_220624_095730/112723930/ccs/0	8205	5565	1049	1591	5566	7156	kept
m64152e_220624_095730/124389355/ccs/0	7637	2529	12	5096	2530	7625	kept
m64152e_220624_095730/130351556/ccs/1	8206	5567	1048	1591	5568	7158	kept
m64152e_220624_095730/131008161/ccs/1	8204	5565	1048	1591	5566	7156	kept
m64152e_220624_095730/132057651/ccs/1	8207	5568	1047	1592	5569	7160	kept
m64152e_220624_095730/147065580/ccs/0	7683	2522	64	5097	2523	7619	kept
m64152e_220624_095730/148833226/ccs/1	7633	2524	11	5098	2525	7622	kept
m64152e_220624_095730/153551827/ccs/1	7632	2524	11	5097	2525	7621	kept
m64152e_220624_095730/154927493/ccs/1	7634	2524	11	5099	2525	7623	kept
m64152e_220624_095730/154929028/ccs/0	8205	5565	1049	1591	5566	7156	kept
m64152e_220624_095730/171771578/ccs/1	7641	2524	11	5106	2525	7630	kept
